"Day","Phylum","Responders","count","Fraction"
1,"Acidobacteria","Stover",5,0.000643500643500643
2,"Acidobacteria","PyOM",6,0.000772200772200772
2,"Acidobacteria","Stover",5,0.000643500643500643
1,"Actinobacteria","Both",4,0.000514800514800515
1,"Actinobacteria","PyOM",2,0.000257400257400257
1,"Actinobacteria","Stover",25,0.00321750321750322
2,"Actinobacteria","Both",9,0.00115830115830116
2,"Actinobacteria","PyOM",7,0.000900900900900901
2,"Actinobacteria","Stover",31,0.00398970398970399
1,"Armatimonadetes","Stover",2,0.000257400257400257
2,"Armatimonadetes","Both",2,0.000257400257400257
2,"Armatimonadetes","PyOM",1,0.000128700128700129
2,"Armatimonadetes","Stover",3,0.000386100386100386
1,"Bacteroidetes","Both",3,0.000386100386100386
1,"Bacteroidetes","PyOM",4,0.000514800514800515
1,"Bacteroidetes","Stover",57,0.00733590733590734
2,"Bacteroidetes","Both",22,0.00283140283140283
2,"Bacteroidetes","PyOM",30,0.00386100386100386
2,"Bacteroidetes","Stover",106,0.0136422136422136
2,"BRC1","PyOM",1,0.000128700128700129
2,"BRC1","Stover",1,0.000128700128700129
2,"Chlorobi","PyOM",5,0.000643500643500643
2,"Chlorobi","Stover",1,0.000128700128700129
1,"Chloroflexi","Stover",2,0.000257400257400257
2,"Chloroflexi","Both",1,0.000128700128700129
2,"Chloroflexi","PyOM",4,0.000514800514800515
2,"Chloroflexi","Stover",7,0.000900900900900901
1,"Cyanobacteria","Stover",2,0.000257400257400257
2,"Cyanobacteria","PyOM",3,0.000386100386100386
2,"Cyanobacteria","Stover",2,0.000257400257400257
2,"Elusimicrobia","Stover",1,0.000128700128700129
2,"FBP","PyOM",1,0.000128700128700129
2,"FBP","Stover",2,0.000257400257400257
2,"Fibrobacteres","Stover",1,0.000128700128700129
1,"Firmicutes","PyOM",1,0.000128700128700129
1,"Firmicutes","Stover",36,0.00463320463320463
2,"Firmicutes","Stover",11,0.00141570141570142
2,"Gemmatimonadetes","Both",2,0.000257400257400257
2,"Gemmatimonadetes","PyOM",12,0.00154440154440154
2,"Gemmatimonadetes","Stover",3,0.000386100386100386
2,"OP3","Stover",1,0.000128700128700129
1,"Planctomycetes","PyOM",2,0.000257400257400257
1,"Planctomycetes","Stover",7,0.000900900900900901
2,"Planctomycetes","Both",7,0.000900900900900901
2,"Planctomycetes","PyOM",13,0.00167310167310167
2,"Planctomycetes","Stover",46,0.00592020592020592
1,"Proteobacteria","Both",12,0.00154440154440154
1,"Proteobacteria","PyOM",3,0.000386100386100386
1,"Proteobacteria","Stover",113,0.0145431145431145
2,"Proteobacteria","Both",59,0.00759330759330759
2,"Proteobacteria","PyOM",47,0.00604890604890605
2,"Proteobacteria","Stover",176,0.0226512226512227
2,"Spirochaetes","Stover",5,0.000643500643500643
1,"[Thermi]","Stover",2,0.000257400257400257
1,"Verrucomicrobia","Stover",6,0.000772200772200772
2,"Verrucomicrobia","Both",11,0.00141570141570142
2,"Verrucomicrobia","PyOM",6,0.000772200772200772
2,"Verrucomicrobia","Stover",27,0.00347490347490347
1,"WPS-2","Stover",1,0.000128700128700129
2,NA,"PyOM",2,0.000257400257400257
